,buyprice,buytime,date,pnl,quantity,sellprice,selltime,sl,type
498,491.7,09:49:00,2022-03-25,-289.9999999999977,100.0,488.8,12:00:00,488.8,buy
499,489.2,15:15:00,2022-03-25,-39.999999999997726,100.0,488.8,12:05:00,491.7,sell
500,492.35,12:36:00,2022-03-28,-525.0,100.0,487.1,09:32:00,492.35,sell
501,492.35,12:37:00,2022-03-28,454.99999999999545,100.0,496.9,15:15:00,487.1,buy
502,494.15,15:15:00,2022-03-29,435.0000000000023,100.0,498.5,09:48:00,501.35,sell
503,499.6,10:24:00,2022-03-30,-230.00000000000114,100.0,497.3,09:40:00,499.6,sell
504,499.6,10:25:00,2022-03-30,-230.00000000000114,100.0,497.3,11:20:00,497.3,buy
505,494.55,15:15:00,2022-03-30,275.0,100.0,497.3,11:21:00,499.6,sell
506,495.75,09:35:00,2022-03-31,-260.0000000000023,100.0,493.15,10:32:00,493.15,buy
507,495.75,11:23:00,2022-03-31,-260.0000000000023,100.0,493.15,10:33:00,495.75,sell
508,495.75,11:24:00,2022-03-31,-260.0000000000023,100.0,493.15,14:39:00,493.15,buy
509,496.25,10:00:00,2022-04-01,1164.9999999999977,100.0,507.9,15:15:00,491.4,buy
510,513.7,09:32:00,2022-04-04,-85.00000000000227,100.0,512.85,15:15:00,506.0,buy
